contig,start,end,positions,mean_depth,callable_percent
NC_000913.3,690001,700000,10000,163.218200,99.990000
NC_000913.3,700001,710000,10000,162.621300,100.000000
NC_000913.3,710001,720000,10000,161.694200,100.000000
NC_000913.3,720001,730000,10000,158.623000,98.520000
NC_000913.3,730001,740000,10000,67.959500,56.740000
NC_000913.3,740001,750000,10000,137.084900,93.740000
NC_000913.3,750001,760000,10000,138.577700,90.940000
NC_000913.3,760001,770000,10000,158.760000,100.000000
NC_000913.3,770001,780000,10000,156.986600,100.000000
NC_000913.3,780001,790000,10000,115.836500,81.050000
NC_000913.3,790001,800000,10000,0.000000,0.000000
NC_000913.3,800001,810000,10000,61.150000,43.170000
NC_000913.3,810001,820000,10000,156.451000,100.000000
NC_000913.3,820001,830000,10000,148.930900,100.000000
NC_000913.3,830001,840000,10000,151.103800,100.000000
NC_000913.3,840001,850000,10000,148.162900,100.000000
NC_000913.3,850001,860000,10000,145.214500,99.520000
NC_000913.3,860001,870000,10000,144.740000,100.000000
NC_000913.3,870001,880000,10000,148.648100,100.000000
NC_000913.3,880001,890000,10000,141.688600,100.000000
NC_000913.3,890001,900000,10000,137.168600,100.000000
NC_000913.3,900001,910000,10000,140.812200,100.000000
NC_000913.3,910001,920000,10000,134.739900,99.990000
NC_000913.3,920001,930000,10000,130.851700,99.980000
NC_000913.3,930001,940000,10000,132.745600,99.970000
NC_000913.3,940001,950000,10000,130.791400,100.000000
NC_000913.3,950001,960000,10000,135.330200,100.000000
NC_000913.3,960001,970000,10000,134.737600,100.000000
NC_000913.3,970001,980000,10000,136.021200,100.000000
NC_000913.3,980001,990000,10000,127.334000,99.990000
NC_000913.3,990001,1000000,10000,131.312300,100.000000
NC_000913.3,1000001,1010000,10000,130.915400,100.000000
NC_000913.3,1010001,1020000,10000,131.992900,100.000000
NC_000913.3,1020001,1030000,10000,131.416300,100.000000
NC_000913.3,1030001,1040000,10000,132.264200,100.000000
NC_000913.3,1040001,1050000,10000,125.628800,97.830000
NC_000913.3,1050001,1060000,10000,120.707400,94.580000
NC_000913.3,1060001,1070000,10000,120.531200,99.300000
NC_000913.3,1070001,1080000,10000,128.232300,100.000000
NC_000913.3,1080001,1090000,10000,126.764400,100.000000
NC_000913.3,1090001,1100000,10000,83.473900,70.100000
NC_000913.3,1100001,1110000,10000,123.086500,100.000000
NC_000913.3,1110001,1120000,10000,122.312100,100.000000
NC_000913.3,1120001,1130000,10000,120.520000,100.000000
NC_000913.3,1130001,1140000,10000,121.008000,99.230000
NC_000913.3,1140001,1150000,10000,118.748300,100.000000
NC_000913.3,1150001,1160000,10000,118.127700,100.000000
NC_000913.3,1160001,1170000,10000,111.597900,99.570000
NC_000913.3,1170001,1180000,10000,115.531500,100.000000
NC_000913.3,1180001,1190000,10000,116.614200,100.000000
NC_000913.3,1190001,1200000,10000,73.115500,63.620000
NC_000913.3,1200001,1210000,10000,2.303400,5.210000
NC_000913.3,1210001,1220000,10000,96.848900,85.390000
NC_000913.3,1220001,1230000,10000,115.832400,99.990000
NC_000913.3,1230001,1240000,10000,116.847900,100.000000
NC_000913.3,1240001,1250000,10000,121.145200,100.000000
NC_000913.3,1250001,1260000,10000,115.831500,100.000000
NC_000913.3,1260001,1270000,10000,111.268200,98.600000
NC_000913.3,1270001,1280000,10000,109.097700,97.880000
NC_000913.3,1280001,1290000,10000,110.268400,95.750000
NC_000913.3,1290001,1300000,10000,94.777800,85.150000
NC_000913.3,1300001,1310000,10000,110.377600,93.120000
NC_000913.3,1310001,1320000,10000,116.892300,100.000000
NC_000913.3,1320001,1330000,10000,115.450100,99.450000
NC_000913.3,1330001,1340000,10000,119.104300,100.000000
NC_000913.3,1340001,1350000,10000,119.258600,99.990000
NC_000913.3,1350001,1360000,10000,113.490200,99.990000
NC_000913.3,1360001,1370000,10000,120.596100,100.000000
NC_000913.3,1370001,1380000,10000,121.364100,100.000000
NC_000913.3,1380001,1390000,10000,120.924000,100.000000
NC_000913.3,1390001,1400000,10000,107.718400,88.260000
NC_000913.3,1400001,1410000,10000,125.384900,100.000000
NC_000913.3,1410001,1420000,10000,94.556900,79.870000
NC_000913.3,1420001,1430000,10000,26.431800,26.260000
NC_000913.3,1430001,1440000,10000,65.706000,55.730000
NC_000913.3,1440001,1450000,10000,120.398500,100.000000
NC_000913.3,1450001,1460000,10000,11.551100,10.330000
NC_000913.3,1460001,1470000,10000,0.000000,0.000000
NC_000913.3,1470001,1480000,10000,63.657400,54.410000
NC_000913.3,1480001,1490000,10000,120.877500,99.970000
NC_000913.3,1490001,1500000,10000,120.876200,100.000000
NC_000913.3,1500001,1510000,10000,123.591300,100.000000
NC_000913.3,1510001,1520000,10000,116.326700,100.000000
NC_000913.3,1520001,1530000,10000,108.122000,90.470000
NC_000913.3,1530001,1540000,10000,102.951500,92.010000
NC_000913.3,1540001,1550000,10000,118.625800,100.000000
NC_000913.3,1550001,1560000,10000,117.093600,97.260000
NC_000913.3,1560001,1570000,10000,117.874700,100.000000
NC_000913.3,1570001,1580000,10000,107.744200,93.330000
NC_000913.3,1580001,1590000,10000,120.431400,100.000000
NC_000913.3,1590001,1600000,10000,45.039300,39.730000
NC_000913.3,1600001,1610000,10000,68.503900,57.430000
NC_000913.3,1610001,1620000,10000,114.928800,99.430000
NC_000913.3,1620001,1630000,10000,117.404000,100.000000
NC_000913.3,1630001,1640000,10000,39.932300,39.920000
NC_000913.3,1640001,1650000,10000,23.895100,26.710000
NC_000913.3,1650001,1660000,10000,103.798100,90.300000
NC_000913.3,1660001,1670000,10000,120.334000,100.000000
NC_000913.3,1670001,1680000,10000,118.698600,100.000000
NC_000913.3,1680001,1690000,10000,116.949600,100.000000
NC_000913.3,1690001,1700000,10000,118.943200,99.600000
NC_000913.3,1700001,1710000,10000,115.326400,99.010000
NC_000913.3,1710001,1720000,10000,115.896400,100.000000
NC_000913.3,1720001,1730000,10000,118.991300,100.000000
NC_000913.3,1730001,1740000,10000,119.341100,100.000000
NC_000913.3,1740001,1750000,10000,118.960200,100.000000
NC_000913.3,1750001,1760000,10000,117.572300,100.000000
NC_000913.3,1760001,1770000,10000,107.188700,91.580000
NC_000913.3,1770001,1780000,10000,120.447800,99.990000
NC_000913.3,1780001,1790000,10000,118.274200,100.000000
NC_000913.3,1790001,1800000,10000,118.435700,100.000000
NC_000913.3,1800001,1810000,10000,120.476900,100.000000
NC_000913.3,1810001,1820000,10000,122.976000,100.000000
NC_000913.3,1820001,1830000,10000,123.281800,100.000000
NC_000913.3,1830001,1840000,10000,123.330300,99.800000
NC_000913.3,1840001,1850000,10000,124.381700,100.000000
NC_000913.3,1850001,1860000,10000,124.743500,100.000000
NC_000913.3,1860001,1870000,10000,121.976100,100.000000
NC_000913.3,1870001,1880000,10000,125.355900,100.000000
NC_000913.3,1880001,1890000,10000,122.352100,100.000000
NC_000913.3,1890001,1900000,10000,126.343000,100.000000
NC_000913.3,1900001,1910000,10000,124.222700,99.990000
NC_000913.3,1910001,1920000,10000,126.525000,100.000000
NC_000913.3,1920001,1930000,10000,125.158100,99.990000
NC_000913.3,1930001,1940000,10000,126.844900,100.000000
NC_000913.3,1940001,1950000,10000,123.906100,100.000000
NC_000913.3,1950001,1960000,10000,125.020100,100.000000
NC_000913.3,1960001,1970000,10000,129.117000,100.000000
NC_000913.3,1970001,1980000,10000,120.708400,93.130000
NC_000913.3,1980001,1990000,10000,129.439000,100.000000
NC_000913.3,1990001,2000000,10000,68.792600,52.810000
NC_000913.3,2000001,2010000,10000,0.000000,0.000000
NC_000913.3,2010001,2020000,10000,0.000000,0.000000
NC_000913.3,2020001,2030000,10000,0.000000,0.000000
NC_000913.3,2030001,2040000,10000,52.059100,39.650000
NC_000913.3,2040001,2050000,10000,130.269400,100.000000
NC_000913.3,2050001,2060000,10000,134.348400,100.000000
NC_000913.3,2060001,2070000,10000,105.945000,80.760000
NC_000913.3,2070001,2080000,10000,24.825800,19.790000
NC_000913.3,2080001,2090000,10000,122.003600,93.530000
NC_000913.3,2090001,2100000,10000,123.834300,100.000000
NC_000913.3,2100001,2110000,10000,12.079300,12.790000
NC_000913.3,2110001,2120000,10000,64.854500,68.260000
NC_000913.3,2120001,2130000,10000,148.867200,100.000000
NC_000913.3,2130001,2140000,10000,137.813900,100.000000
NC_000913.3,2140001,2150000,10000,134.581200,99.950000
NC_000913.3,2150001,2160000,10000,119.694600,90.290000
NC_000913.3,2160001,2170000,10000,130.120800,94.110000
NC_000913.3,2170001,2180000,10000,116.078800,86.870000
NC_000913.3,2180001,2190000,10000,74.111900,54.340000
NC_000913.3,2190001,2200000,10000,96.924400,73.720000
NC_000913.3,2200001,2210000,10000,131.451700,97.970000
NC_000913.3,2210001,2220000,10000,137.762300,99.830000
NC_000913.3,2220001,2230000,10000,140.408100,100.000000
NC_000913.3,2230001,2240000,10000,144.225300,100.000000
NC_000913.3,2240001,2250000,10000,143.161100,99.950000
NC_000913.3,2250001,2260000,10000,140.265800,98.900000
NC_000913.3,2260001,2270000,10000,146.700500,100.000000
NC_000913.3,2270001,2280000,10000,146.904900,100.000000
NC_000913.3,2280001,2290000,10000,129.347300,89.310000
NC_000913.3,2290001,2300000,10000,143.355200,98.910000
NC_000913.3,2300001,2310000,10000,137.619500,98.370000
NC_000913.3,2310001,2320000,10000,87.032600,58.350000
NC_000913.3,2320001,2330000,10000,151.118600,100.000000
NC_000913.3,2330001,2340000,10000,148.841700,100.000000
NC_000913.3,2340001,2350000,10000,142.915500,100.000000
NC_000913.3,2350001,2360000,10000,142.825400,98.460000
NC_000913.3,2360001,2370000,10000,147.877400,100.000000
NC_000913.3,2370001,2380000,10000,147.568700,100.000000
NC_000913.3,2380001,2390000,10000,70.049700,51.940000
NC_000913.3,2390001,2400000,10000,142.205700,98.320000
NC_000913.3,2400001,2410000,10000,148.343200,100.000000
NC_000913.3,2410001,2420000,10000,150.677900,100.000000
NC_000913.3,2420001,2430000,10000,149.904300,100.000000
NC_000913.3,2430001,2440000,10000,153.419400,100.000000
NC_000913.3,2440001,2450000,10000,133.378200,90.330000
NC_000913.3,2450001,2460000,10000,120.532400,83.560000
NC_000913.3,2460001,2470000,10000,89.425200,63.210000
NC_000913.3,2470001,2480000,10000,53.417100,37.080000
NC_000913.3,2480001,2490000,10000,158.329000,100.000000
NC_000913.3,2490001,2500000,10000,159.230100,100.000000
NC_000913.3,2500001,2510000,10000,160.290500,100.000000
NC_000913.3,2510001,2520000,10000,137.634200,86.810000
NC_000913.3,2520001,2530000,10000,87.236400,54.470000
NC_000913.3,2530001,2540000,10000,162.616300,99.970000
NC_000913.3,2540001,2550000,10000,128.062800,86.020000
NC_000913.3,2550001,2560000,10000,135.090600,87.120000
NC_000913.3,2560001,2570000,10000,70.759800,45.270000
NC_000913.3,2570001,2580000,10000,168.606900,100.000000
NC_000913.3,2580001,2590000,10000,169.678600,100.000000
NC_000913.3,2590001,2600000,10000,167.659400,100.000000
NC_000913.3,2600001,2610000,10000,169.386200,100.000000
NC_000913.3,2610001,2620000,10000,163.601900,100.000000
NC_000913.3,2620001,2630000,10000,169.037000,100.000000
NC_000913.3,2630001,2640000,10000,170.612900,100.000000
NC_000913.3,2640001,2650000,10000,166.820400,100.000000
NC_000913.3,2650001,2660000,10000,163.811500,98.540000
NC_000913.3,2660001,2670000,10000,166.068800,100.000000
NC_000913.3,2670001,2680000,10000,168.528000,100.000000
NC_000913.3,2680001,2690000,10000,171.301100,100.000000
NC_000913.3,2690001,2700000,10000,170.188300,100.000000
NC_000913.3,2700001,2710000,10000,174.089900,100.000000
NC_000913.3,2710001,2720000,10000,173.693600,100.000000
NC_000913.3,2720001,2730000,10000,103.902000,66.150000
NC_000913.3,2730001,2740000,10000,148.588700,90.410000
NC_000913.3,2740001,2750000,10000,169.708600,98.670000
NC_000913.3,2750001,2760000,10000,102.405200,59.640000
NC_000913.3,2760001,2770000,10000,0.000000,0.000000
NC_000913.3,2770001,2780000,10000,0.000000,0.000000
NC_000913.3,2780001,2790000,10000,20.069700,13.110000
NC_000913.3,2790001,2800000,10000,167.951700,98.410000
NC_000913.3,2800001,2810000,10000,181.472700,100.000000
NC_000913.3,2810001,2820000,10000,184.383200,100.000000
NC_000913.3,2820001,2830000,10000,185.703300,100.000000
NC_000913.3,2830001,2840000,10000,192.969600,100.000000
NC_000913.3,2840001,2850000,10000,172.692500,92.800000
NC_000913.3,2850001,2860000,10000,187.876700,100.000000
NC_000913.3,2860001,2870000,10000,190.212400,100.000000
NC_000913.3,2870001,2880000,10000,144.083000,77.220000
NC_000913.3,2880001,2890000,10000,50.397000,26.920000
NC_000913.3,2890001,2900000,10000,195.081700,100.000000
NC_000913.3,2900001,2910000,10000,186.976500,97.400000
NC_000913.3,2910001,2920000,10000,188.807100,100.000000
NC_000913.3,2920001,2930000,10000,199.587900,100.000000
NC_000913.3,2930001,2940000,10000,154.660400,79.230000
NC_000913.3,2940001,2950000,10000,195.656300,100.000000
NC_000913.3,2950001,2960000,10000,200.817300,100.000000
NC_000913.3,2960001,2970000,10000,205.111700,100.000000
NC_000913.3,2970001,2980000,10000,203.929000,100.000000
NC_000913.3,2980001,2990000,10000,157.468900,80.960000
NC_000913.3,2990001,3000000,10000,29.205300,17.110000
NC_000913.3,3000001,3010000,10000,205.450500,100.000000
NC_000913.3,3010001,3020000,10000,201.830300,100.000000
NC_000913.3,3020001,3030000,10000,201.671600,100.000000
NC_000913.3,3030001,3040000,10000,204.773600,99.810000
NC_000913.3,3040001,3050000,10000,211.441700,100.000000
NC_000913.3,3050001,3060000,10000,203.138200,100.000000
NC_000913.3,3060001,3070000,10000,204.010400,100.000000
NC_000913.3,3070001,3080000,10000,206.740200,100.000000
NC_000913.3,3080001,3090000,10000,205.343100,100.000000
NC_000913.3,3090001,3100000,10000,196.425300,98.980000
NC_000913.3,3100001,3110000,10000,198.250300,100.000000
NC_000913.3,3110001,3120000,10000,141.163900,88.130000
NC_000913.3,3120001,3130000,10000,215.596700,100.000000
NC_000913.3,3130001,3140000,10000,186.319500,88.240000
NC_000913.3,3140001,3150000,10000,218.657800,100.000000
NC_000913.3,3150001,3160000,10000,217.346600,100.000000
NC_000913.3,3160001,3170000,10000,221.215300,100.000000
NC_000913.3,3170001,3180000,10000,222.675300,100.000000
NC_000913.3,3180001,3190000,10000,189.017900,86.950000
NC_000913.3,3190001,3200000,10000,217.236300,99.800000
NC_000913.3,3200001,3210000,10000,218.392100,98.520000
NC_000913.3,3210001,3220000,10000,224.988800,100.000000
NC_000913.3,3220001,3230000,10000,222.973800,100.000000
NC_000913.3,3230001,3240000,10000,216.650900,97.940000
NC_000913.3,3240001,3250000,10000,227.029500,100.000000
NC_000913.3,3250001,3260000,10000,216.496700,99.990000
NC_000913.3,3260001,3270000,10000,220.458600,99.250000
NC_000913.3,3270001,3280000,10000,221.972000,98.530000
NC_000913.3,3280001,3290000,10000,218.432100,99.580000
NC_000913.3,3290001,3300000,10000,226.568200,100.000000
NC_000913.3,3300001,3310000,10000,217.220100,100.000000
NC_000913.3,3310001,3320000,10000,223.328100,100.000000
NC_000913.3,3320001,3330000,10000,218.442600,100.000000
NC_000913.3,3330001,3340000,10000,214.926500,99.970000
NC_000913.3,3340001,3350000,10000,220.463200,100.000000
NC_000913.3,3350001,3360000,10000,217.223400,100.000000
NC_000913.3,3360001,3370000,10000,36.776600,20.640000
NC_000913.3,3370001,3380000,10000,212.535800,100.000000
NC_000913.3,3380001,3390000,10000,212.315800,100.000000
NC_000913.3,3390001,3400000,10000,210.856000,100.000000
NC_000913.3,3400001,3410000,10000,218.071500,100.000000
NC_000913.3,3410001,3420000,10000,214.868500,100.000000
NC_000913.3,3420001,3430000,10000,105.174600,58.090000
NC_000913.3,3430001,3440000,10000,213.530800,100.000000
NC_000913.3,3440001,3450000,10000,215.615900,100.000000
NC_000913.3,3450001,3460000,10000,193.645300,90.870000
NC_000913.3,3460001,3470000,10000,201.968100,94.170000
NC_000913.3,3470001,3480000,10000,198.263300,96.170000
NC_000913.3,3480001,3490000,10000,225.346600,100.000000
NC_000913.3,3490001,3500000,10000,225.363800,100.000000
NC_000913.3,3500001,3510000,10000,226.227400,100.000000
NC_000913.3,3510001,3520000,10000,223.154100,99.830000
NC_000913.3,3520001,3530000,10000,228.266200,99.880000
NC_000913.3,3530001,3540000,10000,229.002400,99.850000
NC_000913.3,3540001,3550000,10000,228.244300,99.650000
NC_000913.3,3550001,3560000,10000,231.511500,100.000000
NC_000913.3,3560001,3570000,10000,231.501300,99.940000
NC_000913.3,3570001,3580000,10000,237.826200,100.000000
NC_000913.3,3580001,3590000,10000,224.980800,92.630000
NC_000913.3,3590001,3600000,10000,245.247300,100.000000
NC_000913.3,3600001,3610000,10000,248.351100,100.000000
NC_000913.3,3610001,3620000,10000,236.073400,95.710000
NC_000913.3,3620001,3630000,10000,175.293700,76.560000
NC_000913.3,3630001,3640000,10000,260.036500,100.000000
NC_000913.3,3640001,3650000,10000,258.063400,100.000000
NC_000913.3,3650001,3660000,10000,230.118500,88.230000
NC_000913.3,3660001,3670000,10000,239.130800,97.570000
NC_000913.3,3670001,3680000,10000,270.446100,100.000000
NC_000913.3,3680001,3690000,10000,270.554500,100.000000
NC_000913.3,3690001,3700000,10000,277.343300,99.610000
NC_000913.3,3700001,3710000,10000,276.017400,98.510000
NC_000913.3,3710001,3720000,10000,270.410000,100.000000
NC_000913.3,3720001,3730000,10000,385.898600,85.870000
NC_000913.3,3730001,3740000,10000,277.376400,100.000000
NC_000913.3,3740001,3750000,10000,278.141800,100.000000
NC_000913.3,3750001,3760000,10000,269.794300,98.270000
NC_000913.3,3760001,3770000,10000,177.311700,67.210000
NC_000913.3,3770001,3780000,10000,279.442800,99.470000
NC_000913.3,3780001,3790000,10000,283.868300,99.340000
NC_000913.3,3790001,3800000,10000,143.178800,56.280000
NC_000913.3,3800001,3810000,10000,41.455500,15.580000
NC_000913.3,3810001,3820000,10000,275.428000,97.940000
NC_000913.3,3820001,3830000,10000,277.300200,98.420000
NC_000913.3,3830001,3840000,10000,287.875800,100.000000
NC_000913.3,3840001,3850000,10000,301.258500,100.000000
NC_000913.3,3850001,3860000,10000,297.124400,100.000000
NC_000913.3,3860001,3870000,10000,279.300900,99.430000
NC_000913.3,3870001,3880000,10000,298.217600,100.000000
NC_000913.3,3880001,3890000,10000,289.618000,100.000000
NC_000913.3,3890001,3900000,10000,277.615900,99.330000
NC_000913.3,3900001,3910000,10000,297.374200,100.000000
NC_000913.3,3910001,3920000,10000,284.500900,100.000000
NC_000913.3,3920001,3930000,10000,279.660700,100.000000
NC_000913.3,3930001,3940000,10000,273.743000,100.000000
NC_000913.3,3940001,3950000,10000,133.169300,57.980000
NC_000913.3,3950001,3960000,10000,262.748800,100.000000
NC_000913.3,3960001,3970000,10000,269.203900,100.000000
NC_000913.3,3970001,3980000,10000,273.913900,100.000000
NC_000913.3,3980001,3990000,10000,229.201300,98.620000
NC_000913.3,3990001,4000000,10000,254.518500,99.050000
NC_000913.3,4000001,4010000,10000,240.002900,98.560000
NC_000913.3,4010001,4020000,10000,247.481500,98.820000
NC_000913.3,4020001,4030000,10000,257.785300,99.300000
NC_000913.3,4030001,4040000,10000,138.032700,55.850000
NC_000913.3,4040001,4050000,10000,235.329900,94.930000
NC_000913.3,4050001,4060000,10000,254.627200,99.220000
NC_000913.3,4060001,4070000,10000,249.057000,99.250000
NC_000913.3,4070001,4080000,10000,251.138200,100.000000
NC_000913.3,4080001,4090000,10000,257.680700,100.000000
NC_000913.3,4090001,4100000,10000,223.471600,94.770000
NC_000913.3,4100001,4110000,10000,251.940700,100.000000
NC_000913.3,4110001,4120000,10000,244.573800,100.000000
NC_000913.3,4120001,4130000,10000,242.804900,100.000000
NC_000913.3,4130001,4140000,10000,240.957500,100.000000
NC_000913.3,4140001,4150000,10000,238.887500,100.000000
NC_000913.3,4150001,4160000,10000,225.287700,98.070000
NC_000913.3,4160001,4170000,10000,149.411800,73.550000
NC_000913.3,4170001,4180000,10000,163.931500,79.690000
NC_000913.3,4180001,4190000,10000,232.980700,100.000000
NC_000913.3,4190001,4200000,10000,232.449800,100.000000
NC_000913.3,4200001,4210000,10000,167.343300,77.310000
NC_000913.3,4210001,4220000,10000,148.856400,63.250000
NC_000913.3,4220001,4230000,10000,213.750300,93.990000
NC_000913.3,4230001,4240000,10000,230.590500,100.000000
NC_000913.3,4240001,4250000,10000,235.920700,100.000000
NC_000913.3,4250001,4260000,10000,232.206000,100.000000
NC_000913.3,4260001,4270000,10000,227.789000,99.680000
NC_000913.3,4270001,4280000,10000,240.030700,100.000000
NC_000913.3,4280001,4290000,10000,247.808700,100.000000
NC_000913.3,4290001,4300000,10000,230.789400,95.530000
NC_000913.3,4300001,4310000,10000,243.043000,100.000000
NC_000913.3,4310001,4320000,10000,246.991300,100.000000
NC_000913.3,4320001,4330000,10000,233.913600,97.710000
NC_000913.3,4330001,4340000,10000,246.380800,100.000000
NC_000913.3,4340001,4350000,10000,239.357000,100.000000
NC_000913.3,4350001,4360000,10000,241.352700,100.000000
NC_000913.3,4360001,4370000,10000,245.795800,100.000000
NC_000913.3,4370001,4380000,10000,244.636800,100.000000
NC_000913.3,4380001,4390000,10000,221.271100,92.910000
NC_000913.3,4390001,4400000,10000,234.780600,100.000000
NC_000913.3,4400001,4410000,10000,240.465400,100.000000
NC_000913.3,4410001,4420000,10000,240.766300,100.000000
NC_000913.3,4420001,4430000,10000,190.112300,89.000000
NC_000913.3,4430001,4440000,10000,191.930000,87.930000
NC_000913.3,4440001,4450000,10000,209.312400,92.320000
NC_000913.3,4450001,4460000,10000,224.788800,100.000000
NC_000913.3,4460001,4470000,10000,227.564100,99.980000
NC_000913.3,4470001,4480000,10000,179.847100,89.250000
NC_000913.3,4480001,4490000,10000,231.442700,100.000000
NC_000913.3,4490001,4500000,10000,195.332700,86.850000
NC_000913.3,4500001,4510000,10000,217.513400,88.300000
NC_000913.3,4510001,4520000,10000,216.998400,92.430000
NC_000913.3,4520001,4530000,10000,89.521900,40.380000
NC_000913.3,4530001,4540000,10000,236.361400,100.000000
NC_000913.3,4540001,4550000,10000,228.236400,100.000000
NC_000913.3,4550001,4560000,10000,228.846700,100.000000
NC_000913.3,4560001,4570000,10000,224.685900,97.700000
NC_000913.3,4570001,4580000,10000,89.049500,43.180000
NC_000913.3,4580001,4590000,10000,185.283300,88.910000
NC_000913.3,4590001,4600000,10000,214.444400,98.460000
NC_000913.3,4600001,4610000,10000,223.353700,100.000000
NC_000913.3,4610001,4620000,10000,216.752300,100.000000
NC_000913.3,4620001,4630000,10000,171.979000,85.400000
NC_000913.3,4630001,4640000,10000,212.238200,99.500000
NC_000913.3,4640001,4641652,1652,195.054479,100.000000
